vector_size,memory_peak_rss,memory_peak_python_interpreter,execute_time,comparisions,value_to_search,result
20,33.83984375,384628,0.7268750667572021,77,20,None
30,33.8046875,385593,0.7512898445129395,98,45,None
40,33.75,385684,0.7958211898803711,119,86,None
50,34.07421875,385884,0.7385096549987793,119,24,None
60,33.96484375,385617,0.7378876209259033,119,62,None
70,34.0234375,384994,0.7548227310180664,119,4,None
80,33.99609375,385636,0.7445392608642578,140,72,None
90,33.7890625,384889,0.7647488117218018,140,95,None
100,34.05078125,384996,0.7397010326385498,140,68,None
200,33.79296875,384436,0.7453083992004395,161,98,None
300,34.1015625,383550,0.7532188892364502,161,24,None
400,34.0,383493,0.7427449226379395,182,53,None
500,34.109375,383224,0.7310893535614014,182,40,None
600,34.1640625,383616,0.7536416053771973,203,91,None
700,33.82421875,383440,0.7403185367584229,182,28,None
800,33.921875,383928,0.7712845802307129,203,38,None
900,33.79296875,383918,0.7448477745056152,203,39,None
1000,34.26953125,383728,0.7531740665435791,203,50,None
2000,34.08984375,384072,0.74676513671875,224,21,None
3000,34.16796875,384448,0.7357087135314941,245,36,None
4000,34.2265625,384902,0.7478930950164795,245,100,None
5000,34.36328125,384960,0.7583496570587158,245,49,None
6000,34.48046875,384872,0.7634992599487305,245,4,None
7000,34.3359375,385712,0.7614641189575195,266,92,None
8000,34.30078125,379916,0.7637760639190674,49,79,6999
9000,34.2734375,385371,0.739006757736206,266,52,None
10000,34.29296875,384918,0.7330977916717529,266,8,None
20000,34.33203125,385960,0.7309689521789551,287,39,None
30000,35.08984375,381428,0.7607541084289551,91,70,14061
40000,34.37890625,386628,0.7503864765167236,329,44,None
50000,35.09375,380916,0.733220100402832,91,54,32811
60000,34.90625,386932,0.745525598526001,329,24,None
70000,35.01171875,386420,0.7510707378387451,329,51,None
80000,35.05078125,386892,0.7386782169342041,350,98,None
90000,35.6015625,389012,0.9952435493469238,350,53,None
100000,35.4296875,381018,0.82110595703125,28,25,74999
200000,35.9765625,389260,0.9222891330718994,371,71,None
300000,36.7109375,389362,0.8857476711273193,371,19,None
400000,37.515625,386132,0.8148055076599121,217,45,265428
500000,38.421875,389377,0.8123383522033691,392,96,None
600000,39.09765625,390433,0.808281660079956,392,24,None
700000,39.4921875,390156,0.7680082321166992,413,59,None
800000,40.453125,390361,0.7750780582427979,413,64,None
900000,41.171875,388824,0.7664847373962402,343,100,899993
1000000,42.29296875,389596,0.7759966850280762,413,52,None
2000000,49.79296875,390145,0.7829127311706543,434,9,None
3000000,57.5703125,391044,0.7900586128234863,455,85,None
4000000,65.87109375,383916,0.9536616802215576,154,32,15624
5000000,73.453125,390952,0.7720029354095459,476,67,None
6000000,81.06640625,390985,0.9099771976470947,455,2,None
7000000,89.40625,389129,1.5220074653625488,476,33,None
8000000,89.24609375,389132,2.1230671405792236,476,59,None
9000000,96.56640625,391788,3.855916976928711,497,74,None
10000000,105.0390625,391789,76.58489179611206,476,12,None
