vector_size,memory_peak_rss,execute_time,comparisions,value_to_search,result
20,33.98828125,0.7339320182800293,140,20,None
30,33.828125,0.7354874610900879,210,45,None
40,34.06640625,0.7672727108001709,280,86,None
50,33.76953125,0.7436065673828125,126,24,17
60,33.78125,0.743401288986206,350,62,49
70,33.87109375,0.7433960437774658,7,4,0
80,34.1015625,0.7448480129241943,560,72,None
90,34.08203125,0.7505252361297607,630,95,None
100,33.7265625,0.7427825927734375,602,68,85
200,33.79296875,0.7509191036224365,182,98,25
300,34.0078125,0.7391321659088135,686,24,97
400,33.95703125,0.7514147758483887,336,53,47
500,34.17578125,0.7462353706359863,763,40,108
600,33.859375,0.7472126483917236,112,91,15
700,33.859375,0.7486100196838379,105,28,14
800,34.05859375,0.7766501903533936,133,38,18
900,33.90234375,0.757274866104126,273,39,38
1000,34.046875,0.7416417598724365,385,50,54
2000,33.92578125,0.7413818836212158,126,21,17
3000,33.9140625,0.7503259181976318,812,36,115
4000,34.26171875,0.7413661479949951,756,100,107
5000,34.2578125,0.7712569236755371,455,49,64
6000,34.29296875,0.7580018043518066,98,4,13
7000,34.54296875,0.7820091247558594,889,92,126
8000,34.578125,0.7594199180603027,315,79,44
9000,34.18359375,0.7429111003875732,840,52,119
10000,34.48046875,0.7422645092010498,392,8,55
20000,34.28125,0.7393975257873535,140,39,19
30000,34.984375,0.7542455196380615,630,70,89
40000,34.640625,0.7339584827423096,973,44,138
50000,34.390625,0.7304847240447998,175,54,24
60000,34.98046875,0.7455673217773438,161,24,22
70000,35.01953125,0.7442765235900879,1120,51,159
80000,35.15625,0.7746539115905762,56,98,7
90000,34.9296875,0.955385684967041,441,53,62
100000,35.09765625,0.7578022480010986,455,25,64
200000,35.91015625,0.8134944438934326,1057,71,150
300000,36.7109375,0.9209713935852051,854,19,121
400000,37.5078125,0.8394274711608887,847,45,120
500000,38.46484375,0.824012041091919,588,96,83
600000,38.8203125,0.806480884552002,35,24,4
700000,40.05078125,0.7918896675109863,679,59,96
800000,40.43359375,0.7612791061401367,301,64,42
900000,41.23046875,0.7607710361480713,679,100,96
1000000,42.0,0.7570128440856934,28,52,3
2000000,49.67578125,0.7878289222717285,7,9,0
3000000,57.6875,0.8053278923034668,1190,85,169
4000000,65.8515625,1.0611603260040283,371,32,52
5000000,73.46875,0.7951624393463135,245,67,34
6000000,80.72265625,0.9271223545074463,686,2,97
7000000,83.75390625,1.4208264350891113,308,33,43
8000000,88.83984375,4.051563262939453,28,59,3
9000000,96.8671875,11.393839597702026,371,74,52
